Term name,Parent Term Name,Term description,GUID,Parent GUID
Allopauropus tohoius,,,effb3f2a-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Pseudostrongylosoma,,,e3557c19-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Allopauropus therapnaeus,,,efdd82ef-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Pseudogonodrepanum,,,e357d5f8-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Polydesmus zonkovi,,,efe2fb29-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Allopauropus thalassophilus,,,efe779bb-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Promestosoma,,,e34ca21c-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Polydesmus zelebori,,,eff64786-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) vivesi,,,edafb3ab-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus tenuis,,,effb429d-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus zebratus,,,eff64a11-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) viriatus,,,edafb10c-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus tenuilobatus,,,effb4084-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus xanthokrepis,,,efd3ef7c-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) vinosus,,"see also Zapparoli (1992 - Annalen des Naturhistorischen Museums Wien, 93: 174) Syn. of Lithobius peregrinus Latzel, 1880 or Lithobius viriatus Sseliwanoff, 1878",edafafbf-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Porcullosoma,,,e34ca5f8-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Polydesmus worthingtoni,,,efccea71-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) venatoriformis,,,edaea3d0-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus tamulus,,,efe04b44-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polylobosoma,,,e3507316-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Polydesmus woodianus,,,f009456e-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) varius,,"Uncertain identity. Junior synonym of Lithobius aeruginosus L. Koch, 1862 according to Zalesskaja (1978 - Identification book of the lithobiomorph centipedes of the USSR (Chilopoda, Lithobiomorpha). Nauka publ., Moscow: 183)",edae42d8-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus subulatus,,,efe04e2a-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydrepanum,,,e34c3556-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Polydesmus vicarius,,,efe2f9da-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius Lithobius validus,,,6f351a56e96a95516a8e8333fc88cdcf,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus subminutus,,,eff2f05a-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus vescarum,,,efd3f14b-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Polydesmopeltis,,,e3441cad-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) valesiacus,,"Spelda (1999 - Abteilung Ökologie und Morphologie der Tiere (Biologie III). Dissertation zur Erlangung des akademischen Grades eines Doktors der Naturwissenschaften der Universität Ulm, Teil II Abhandlungen der einzelnen Arten, Ulm,",edbed492-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus stepheni,,,efc50667-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus vermiculare,,,efe2fc79-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Pogonosternum,,,e34b5e31-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) uniunguis,,,edad47c5-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus spinosus,,,efdd8198-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus velutinus,,,f017f2d0-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Podochresimus,,,e34f709d-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) uludagensis,,,edad466a-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus spinifer,,,efe77680-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus urvillii,,,eff648cc-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Pocockina,,,e3507463-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) typhlus,,,edab9df9-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus sphaeruliger,,,efe04fca-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus trunculus,,,efc821f9-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Pleuroporodesmus,,,e35596bd-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) tylopus,,,eda536dd-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus snideri,,,effbd0b9-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus tridentatus,,,efcf2642-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) troglomontanus,,"sub Hemibothrus Folkmanová, 1943 in Folkmanová (1943 - Priroda, 38: 63)",eda563c5-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus sinuosus,,,effbcf6d-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus transsylvanicus,,,eff3e468-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) troglodytes,,,eda56273-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus simulator,,,f0046c70-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus transsilvanicus,,,efe50cc7-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Phyllocladosoma,,,e35076b5-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) trinacrius,,,eda560e6-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus simulans,,,efe77b0d-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus thomasii,,,efccdc65-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Phaeodesmus,,,e3429aad-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) tricuspis,,,eda55e2d-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus siamensis,,,efe77c57-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Polydesmus tambanus,,,f00946b1-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Perusoma,,,e357da23-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) tiasnatensis,,,edac73c6-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus scutatus,,,efe7803a-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Yporangiella,,,e3545449-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus syrensis,,,efeb9d25-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Pernambucosoma,,,e357db80-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) tenuicornis,,,edac4640-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus sanctivincenti,,,efe05168-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Xenoporus,,,e357ca67-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus susensis,,,efe2fdc9-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Perittotresis,,,e355b158-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) teneriffae,,,edac44fe-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus sakalavus,,,effc011e-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Xenodesmus,,,e34ff7a1-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus sumatranus,,,f00947f9-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Perittogonopus,,,e34f0816-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) tatricus,,,edac3f88-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus sabaudianus,,,eff2f888-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Vassununga,,,e34ff8f0-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus subvittatus,,,f0094f3e-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Periballopus,,,e350780e-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) subtilis,,,eda618b2-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus ruffoi,,,efe77eee-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Urodesmus,,,e34dd5de-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus stigma,,,efccbd35-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Paternostrana,,,e3507960-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) stygius,,,eda61315-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus rostratus,,,eff2f1bb-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Udodesmus,,,e34ffa7b-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus spectabilis,,,efe2fff5-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Parwalesoma,,,e3433b28-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) stuxbergii,,,eda611c3-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus rodriguesi,,,effc1d3c-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Tridesmus,,,e34abf52-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus skinneri,,,f0094ca4-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Partelsodolichus,,,e355c279-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) stammeri,,"listed among the synonyms of Lithobius lapidicola Meinert, 1872 in Orszàgh (2001 - Myriapodologica Czecho-Slovaca, 1: 53)",eda9dd5e-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Allopauropus ribauti,,,efe77da0-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Treseolobus,,,e348cf1a-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
